#radius total type_0_0 type_0_1 type_0_2 type_0_3
2.67750 1.00450 2.44881 0.09295 0.69292 0.73147
2.69250 1.00271 2.37994 0.11973 0.83033 0.71555
2.70750 1.00291 2.28367 0.15321 0.98157 0.70187
2.72250 1.01425 2.21803 0.19299 1.15244 0.68914
2.73750 1.02907 2.12338 0.24410 1.35162 0.67484
2.75250 1.04979 2.04399 0.30248 1.54825 0.65882
2.76750 1.07405 1.95469 0.37097 1.75539 0.64404
2.78250 1.10384 1.87296 0.44406 1.97021 0.62797
2.79750 1.13676 1.79018 0.53410 2.19271 0.61434
2.81250 1.17055 1.70031 0.63391 2.39309 0.59787
2.82750 1.20665 1.62166 0.73812 2.61702 0.58063
2.84250 1.24393 1.54534 0.86605 2.81668 0.56547
2.85750 1.28182 1.46704 0.99689 3.02935 0.54848
2.87250 1.31650 1.39126 1.13055 3.20300 0.53484
2.88750 1.35093 1.32207 1.28654 3.37590 0.51639
2.90250 1.37804 1.24403 1.43464 3.51749 0.50477
2.91750 1.41038 1.18593 1.59923 3.69015 0.48551
2.93250 1.43314 1.11871 1.75954 3.79614 0.47197
2.94750 1.45334 1.06159 1.93506 3.89150 0.45924
2.96250 1.46958 1.00946 2.10292 3.94988 0.44300
2.97750 1.48080 0.94400 2.26541 4.00270 0.43346
2.99250 1.49069 0.90431 2.43135 4.05573 0.41752
3.00750 1.49314 0.85385 2.59751 4.06211 0.40775
3.02250 1.49251 0.81198 2.74328 4.07091 0.39931
3.03750 1.48600 0.76993 2.88705 4.03864 0.38945
3.05250 1.47589 0.73560 3.01224 3.99365 0.38180
3.06750 1.46047 0.69304 3.12886 3.91720 0.37866
3.08250 1.44329 0.66512 3.25419 3.84927 0.37354
3.09750 1.42223 0.63307 3.33140 3.78119 0.37250
3.11250 1.39350 0.60120 3.41211 3.65156 0.37047
3.12750 1.36658 0.58021 3.47781 3.53996 0.37336
3.14250 1.33305 0.55239 3.51882 3.40795 0.37712
3.15750 1.29965 0.53024 3.53178 3.29183 0.38407
3.17250 1.26219 0.51185 3.55827 3.15583 0.39078
3.18750 1.22562 0.49354 3.56870 2.99268 0.40156
3.20250 1.18367 0.47822 3.53799 2.83131 0.41662
3.21750 1.14387 0.46488 3.52363 2.69812 0.43087
3.23250 1.10304 0.45686 3.48614 2.53399 0.44894
3.24750 1.06072 0.43883 3.42953 2.37696 0.46971
3.26250 1.02123 0.43204 3.37591 2.22620 0.49165
3.27750 0.97989 0.42736 3.28007 2.07862 0.51875
3.29250 0.94058 0.41838 3.19903 1.93846 0.54440
3.30750 0.90513 0.41227 3.11361 1.80388 0.57585
3.32250 0.87218 0.40947 3.01292 1.67052 0.60798
3.33750 0.83941 0.39666 2.91949 1.55769 0.63860
3.35250 0.81053 0.39819 2.79685 1.46161 0.66871
3.36750 0.78573 0.39390 2.67715 1.35831 0.70681
3.38250 0.76750 0.39464 2.56725 1.28777 0.74363
3.39750 0.75002 0.39176 2.44486 1.21031 0.77857
3.41250 0.73859 0.39340 2.32126 1.16150 0.81455
3.42750 0.73007 0.39137 2.18977 1.11431 0.84710
3.44250 0.72702 0.39318 2.07539 1.08675 0.88180
3.45750 0.72878 0.39364 1.96137 1.06236 0.91327
3.47250 0.73182 0.39378 1.83671 1.04799 0.94395
3.48750 0.74047 0.39980 1.72915 1.04625 0.97266
3.50250 0.74916 0.39888 1.62019 1.05984 0.99714
3.51750 0.76083 0.39751 1.50476 1.04922 1.02425
3.53250 0.77552 0.40552 1.40717 1.06720 1.04568
3.54750 0.78617 0.40537 1.31130 1.07941 1.06252
3.56250 0.79779 0.40328 1.21431 1.08320 1.08102
3.57750 0.80634 0.40352 1.13032 1.09807 1.09059
3.59250 0.81281 0.40691 1.05071 1.10808 1.09909
3.60750 0.82120 0.40936 0.98124 1.12086 1.10875
3.62250 0.82158 0.40820 0.91463 1.11635 1.10881
3.63750 0.82297 0.40690 0.86212 1.11731 1.11310
3.65250 0.81894 0.40848 0.81003 1.11426 1.10706
3.66750 0.81302 0.41026 0.77033 1.09661 1.10294
3.68250 0.80608 0.41101 0.73083 1.09401 1.09787
3.69750 0.79802 0.40918 0.70860 1.06332 1.09091
3.71250 0.78543 0.40315 0.68653 1.04202 1.07471
3.72750 0.77708 0.40503 0.66962 1.01148 1.06712
3.74250 0.76660 0.40224 0.66196 0.98252 1.05140
3.75750 0.75516 0.40000 0.65726 0.95033 1.03314
3.77250 0.74882 0.39738 0.65935 0.92148 1.02033
3.78750 0.74013 0.39095 0.66782 0.87910 1.00136
3.80250 0.73652 0.38998 0.67430 0.84486 0.98540
3.81750 0.73400 0.38653 0.68645 0.81637 0.96587
3.83250 0.73559 0.37887 0.71147 0.78410 0.95194
3.84750 0.73663 0.37325 0.73052 0.75440 0.93228
3.86250 0.74267 0.36887 0.75457 0.73318 0.91583
3.87750 0.74951 0.36417 0.77625 0.70886 0.89920
3.89250 0.75975 0.35442 0.79965 0.68281 0.88498
3.90750 0.77048 0.34736 0.82369 0.68067 0.86895
3.92250 0.78285 0.34255 0.85176 0.66314 0.85228
3.93750 0.79752 0.33473 0.87709 0.65470 0.83925
3.95250 0.81288 0.32919 0.90057 0.65590 0.82527
3.96750 0.82883 0.32302 0.91921 0.65257 0.81287
3.98250 0.84493 0.31763 0.93985 0.65543 0.80156
3.99750 0.86211 0.30881 0.96360 0.66511 0.79055
4.01250 0.87727 0.30448 0.98110 0.66970 0.77570
4.02750 0.89689 0.29831 0.99965 0.68248 0.77048
4.04250 0.91269 0.29404 1.00391 0.69222 0.76214
4.05750 0.92905 0.28825 1.01341 0.70565 0.75681
4.07250 0.94515 0.28726 1.02846 0.72250 0.74856
4.08750 0.95945 0.28423 1.02747 0.73546 0.74755
4.10250 0.97392 0.28158 1.04196 0.75336 0.74093
4.11750 0.98717 0.27933 1.04108 0.76504 0.74326
4.13250 0.99788 0.28035 1.04460 0.78348 0.74196
4.14750 1.00815 0.28137 1.04192 0.79973 0.74510
4.16250 1.01597 0.28468 1.04752 0.80794 0.74908
4.17750 1.02019 0.28485 1.03876 0.82047 0.75510
4.19250 1.02250 0.28929 1.03715 0.83884 0.76296
4.20750 1.02292 0.29551 1.04270 0.84388 0.77341
4.22250 1.02125 0.30131 1.03414 0.85493 0.78303
4.23750 1.02037 0.31007 1.03557 0.86121 0.80000
4.25250 1.01401 0.32153 1.03456 0.86570 0.81622
4.26750 1.00854 0.33197 1.02602 0.87525 0.83287
4.28250 1.00334 0.34455 1.02707 0.88057 0.85723
4.29750 0.99619 0.35879 1.02656 0.88025 0.88125
4.31250 0.98816 0.37104 1.02575 0.88121 0.90685
4.32750 0.98500 0.38940 1.02744 0.88933 0.93494
4.34250 0.98022 0.40687 1.03092 0.89253 0.96530
4.35750 0.97845 0.42515 1.03204 0.89369 1.00120
